review,sentiment
"The person who wrote the glowing review of this misguided project must be related to the writer/director/star--or is, in fact, the same person as it defies rational thinking that this movie would be appealing to anyone not connected to a very tightly woven inner circle. How about this? You want to make a movie--tell a story; entertain; draw me in with vivid characters. Sure, you can do it artfully without bowing to the commercial elements designed for mass appeal. However, do not address elements of artistic expression in a vacuum in which the audience is in a continual struggle to grasp at skimpy narrative threads. If I'm to be moved by a dreamy psychological thread then make the concrete fabric easier to buy.",negative
"I looked forward to watching this film since I loved the David Lynch version. In my first attempt at watching it I fell asleep. Nothing was happening. The next night I tried to watch the rest, and again it was putting me to sleep! Nothing ever happened in this movie that could keep anyone's interest alive. The only time it got a bit more exciting was when I tried it on Fast Forward! The DVD came with a second disk which contained bonus material. Needless to say, I had no hard to go through the torture of watching more of Dune (2000). Here are the low points: The acting was bad, the plot moved in slow motion, the sets were and looked cheap, the direction was pathetic, and the CGI visual effects childish.<br /><br />If you want to watch Dune, save your money or rent the 1984 version.",negative
"This series just gets worse and worse. Poorly written and just plain not funny! The premise is excellent, but the writer's inexperience shines through. By trying so hard to offend no one they end up insulting everyone. Now into the second season the desperate cast have stopped waving their arms about, and resorted to that patronizing, smug, ""Oh, silly you"" style acting that comes with a no laugh script. They roll their eyes and shake their heads at each other as if to say, aren't we zany? Isn't this funny? Well, no, it's not actually. Gum disease is less painful. No wonder, with the exception of Corner Gas, Canadians generally avoid Canadian TV. Come on CBC you're suppose to be our leading station showcasing the best of Canadian talent. Pull the plug on this amateurish mess.",negative
"-=contains spoiler from both original and movie versions=-<br /><br />i am a huge fan of Notre dame De Paris musical,i also read book this summer and i watched movie today,in the beginning i was hopeful to watch a good film especially when i saw 6.3 IMDb point.first scenes were good but i actually waited for,theaters scene directly from book,but it was normal but when Esmeralda kisses gringoire i felt something is wrong..they don't even kiss in book,even in musical..<br /><br />and there were huge gap why Esmeralda being judged by sorcerer,in the book she teaches her goat how to respond numbers of clock or write word ""phoebus"".. wait there were a phoebus weren't there? in this movie he is some soldier junk nothing more,the creators made Quasimodo's love to show around and they even canceled Frollo's love..but Notre dame was frollo. his thoughts his struggles between love of god and love of human in movie we cant find anything like that all we have is,some villain who is really bad and kills people whose clashes with his thoughts..and not mentioning phoebus,not mentioning love of frollo,not mentioning jehan (brother of frollo) not mentioning mother of Esmeralda (maybe it is OK,the storyline would have chopped much)they even not mentioned the real story.. (another PS:frollo wasn't a opus dei or some cult member he actually in interest with alchemy he tries to make gold..he was stuck in science and religion)<br /><br />finally don't watch this movie,it is some kind of directors edition to real masterpiece,and if you have watched it before read the book,god have mercy on you..you must read to book immediately..<br /><br />this movie is worse than hunchback of Notre dame II the animated movie,spend your time with watching Notre dame De Paris musical.. enough said..",negative
"I actually saw this movie in the theater back in it's original release. It was painful to watch Peter Sellers embarrass himself so badly. The story was incredibly lame and difficult to follow, and the ending was ridiculous. It was just sad to see how the mighty had fallen. I won't say that I'm a huge Peter Sellers fan, but I did thoroughly enjoy the Pink Panther series and I felt that he gave a strong performance in Being There. But this film should never have been made. From what I've read, he pursued producing this film against the advice of the people around him. Fine, but that still doesn't excuse the studio actually releasing the film.",negative
"After the success of Part 4, another sequel was a natural move. However they should have stopped it before it began. Alice, having survived Part 4 finds herself pregnant and it seems Freddy is using her unborn child to get at his victims, which of course are Alice's friends. Strange Nightmare movie, very heavy on religious imagery and bad acting. The special effects are good, but the movie itself is not.",negative
"This early version of the tale 'The Student of Prague' was made in Germany in 1913, starring Paul Wegener (who was also in 'The Golem' a few years later). In this film he plays a dual role (technically impressive for a 95 year old film to see them in the same shot) after meeting a mysterious old man who makes a pact with him for gold - the gold he needs to woo a countess he's previously saved from drowning.<br /><br />Moving at a fast pace (the film runs just over an hour) and fairly well written and characterised, 'The Student of Prague' has echoes of the Faust legend as well as Dr Jekyll and Mr Hyde, starting as it does with a pact with a mysterious figure of potential evil, and developing into good and evil sides of the same person.",positive
"But if you like the muppets I defy you to dislike this one. Basically the same plot regurgitated (this time New York, not LA) it features a lot of fun cameos and muppet hi-jinx. A lot of the muppets leave the film pretty early on as it centers around Kermy and Miss Piggy. I happened to have enjoyed it greatly. Fun to watch with your kids.",positive
"Here's another of the 1940's westerns that I watch whenever it comes on TCM or FMC, because although it may be flawed historically, it is extremely entertaining and well acted, plus it's got Randolph Scott, my favorite actor second only to Gary Cooper-Well, OK, fourth behind COOP, Charlton Heston, and Gregory Peck. But the film itself, to me anyway, is reasonably historically accurate and as I said before, well acted and ""flows"" very well-I bet I've seen it 50 or 60 times, and enjoy each viewing more than the one before. I have it on tape from TCM but would buy it in a minute if it ever came out on DVD. See it if you haven't- I guarantee you'll like it!",positive
"I was looking through the movie listings in my area on yahoo and seen a movie that had not been advertised. I looked closer and noticed that Peter Falk and Paul Reiser were in it. Having watched ""Mad about you"", once, I was not a fan of Paul Reiser. However, I am a big fan of Peter Falk. So the spouse and I took a chance. We were both swept into this story. The beautiful scenery, the heartfelt acting and the sense of family and moral values that are seldom seen in movies and the world today. Not that sappy emoted junk, but real life situations from real life-like people. I even have to say, Paul Reiser was excellent, although, I still won't watch ""Mad about you"". I don't know where this movie has gone. I heard it was put out in limited release. It should be shared with the world. It is one of the finest movies I have seen. M.",positive
"My girlfriend and I are really into cheesy horror flicks. Especially ones with lots of unnecessary nudity. When we saw the box cover for this movie at blockbuster we thought it would be a perfect movie for the night. We began watching it, already not expecting it to be GREAT, but thought it would at least catch our interest. 20 minutes into the movie we realized that the pace would not eventually pick up and that it was an incredibly boring movie. We tried to get into it, but the plot made very little sense even after reading the back of the DVD box over and over again. The film was shot very dark and it was pretty annoying to try to figure out what was going on in each shot. Each violent scenes were very hard to make out, and you never get to actually watch the violence you're expecting. This is definitely a film without motive that was shot poorly and very drawn out. Each scene was about 20 minute of the same thing and I felt I got the point after the first 5. Skip this film and re-watch another Freddy or Jason flick and you'll be way more content.",negative
"Just kidding.<br /><br />Seeking greener pastures in the form of hustling in New York City, Jon Voight is young optimist Cowboy (almost Forest Gump-like) Joe Buck from Texas. It does not take long for the Big Apple to mercilessly swallow him and his ambitions whole and very soon Joe is the target of both the coldness of New Yorkers and cons from its street-thugs. Given his pure heart, he takes pity on one of these thugs, Ratso Rizzo (Dustin Hoffman) and later moves in with him in his wreck of apartment and the two literally struggle to survive.<br /><br />While Midnight Comedy is labeled as a drama, it is best described as either a tragic comedy or a comedic tragedy in my opinion. It is above all a beautiful film that is stylish in capturing the contemporary hippie-vibe of the late 1960s with its mandatory dizzying Warhol-party cinematography and juxtaposing it with ultra-urban New York City. The film crams Cowboy Joe Buck somewhere in between, thereby emphasizing his out-of-place position. We feel for his struggle to fit in, but also to merely get enough money to feed Ratso Rizzo.<br /><br />Midnight Cowboy brought tears to my eyes as it is also rich in substance and projects a lot of heart. I imagine this film must have inspired both Forest Gump with its pure-hearted and out-of-place lead character and, to an extent, the Crocodile Dundee films as it deals with almost the exact same kind of humour - a contrast between country-cowboys and slick New York cosmopolitans. Very compelling and sensationally creative film that I highly recommend.<br /><br />8.5/10",positive
"i found it highly intellectual and artistic in every way! i felt that the script was conveying all the things i feel physically and emotionally when i got home from work and watched, it. this is a tribute to cinema in the highest form and format.<br /><br />holy guacamole! how i wish those days would come again. i tried putting a bubble window on the side of my car (honda civic 1984), but the vacuum formed muffin trays didn't quite cut it. also in my civic, sexual positions are limited and are not supported by water bed as is brilliantly depicted in 'the van'.<br /><br />'the van' is of the utmost side splitting hilarity and can even substitute for porn if you watch some scenes privately.<br /><br />i highly anticipate that Sam Grossman (the director) has achieved his opus.<br /><br />Ratings john: ****1/2 Sam: *****",positive
"One of the best documentaries released in recent years. Some points...<br /><br />1. Hugo Chavez was elected Venezuela's president in 1998, his support largely coming from the poorer regions of Venezuela.<br /><br />2. In 2002, a coup briefly deposed Chavez. At the time, Irish filmmakers Kim Bartley and Donnacha O'Briain were in Caracas, shooting a documentary about Chavez for British television. Their film deconstructs the coup and its aftermath, and electrifyingly records history unfolding on-the-spot, outside and inside the presidential palace.<br /><br />3. Chavez aimed to free Venezuela from the free-market policies imposed on it by the US. Though Venezuela's oil was already state-owned, it was run for private benefit by executives who Chavez wished to replace.<br /><br />4. Despite being the world's fourth largest oil supplier, Venezuela remains swamped by poverty, its resources literally sucked away by foreign multinational corporations.<br /><br />5. The documentary begins by portraying Chavez's first years as president before the coup. It focuses on his popularity with the poor, and his various policies which proved popular with working class locals (educational plans, distribution of the oil revenue, grass-root democracy etc).<br /><br />6. Chavez was a huge proponent of education, and printed thousands of copies of the Venezuelan constitution, encouraging children and adults to study and understand it.<br /><br />7. When Chavez came to power, he immediately pledged to redistribute oil profits. This, understandably, made the oil companies nervous.<br /><br />8. A media-war broke out. The six private TV stations promptly began opposing the state-run TV station. They questioned Chavez's motives, sanity and sexual orientation.<br /><br />9. Without media support, the coup would not have been successful. The film makes it clear that coups rely heavily on the media to disseminate information and that news can be easily fabricated.<br /><br />10. Under the guise of ""re-establishing democracy"", the opposition silenced the state-run TV station, dissolved the National Electoral Board, Supreme Court, National Assembly and took control of the military.<br /><br />11. Moneyed interests, backed by the military elite (encouraged by the US and CIA), organised a citizens' march on the presidential palace to effect the coup. Snipers shot at Chávez supporters, but the private media stations edited footage so it appeared that return fire was aimed at the opposition march that in fact had been safely diverted.<br /><br />12. Police went on a shooting rampage against Chavez supporters, further bloodying the streets.<br /><br />13. Chavez, held captive, refused to resign. Of course the media/government then lied, saying he had resigned, but Chavez's cabinet members communicated the truth to the international community, which eventually got the message back to Venezuela by cable TV.<br /><br />14. The people rose up, pressuring the return of the president they had elected, whom only a referendum could constitutionally replace.<br /><br />8.9/10 - At a little over an hour long, this doc is far too short. Nevertheless, its an engrossing piece of journalism and deals with a form of ""media warfare"" which rarely gets touched upon. Makes a great companion piece to ""The Battle of Algiers"".<br /><br />Worth one viewing.",positive
"I saw this film in the movie theater. I was taking classes at the Second City Chicago and of course the buzz of this movie was intense. It is a Woodward film about one of Second City's Native sons.<br /><br />Everyone knew about Johns history. Everyone knew how he died. Some even knew that the lore did not make him out to be particularly friendly towards women in improv or comedy.<br /><br />But hey. the man led his life and he was loved intensely by the people who were in his world, and lore also states that he treated all of his close friends with love and respect.<br /><br />This movie. Well. Forget the idea of poor Michael Chilklis (who is a really great actor) being in a really astonishingly bad film, and really only relegated to doing an impersonation of the man.<br /><br />Forget the idea that they could not get the rights to any of Belushi's work...and all the SNL scenes never happened that they portrayed in the movie.<br /><br />Screw the idea that half of the historical information in the film did not even follow Bob Woodwards work. Kinda saying ""Okay...we are about to mess with Belushi...now lets go after Woodward too..."" They also decided to take the premise of It's a Wonderful Life and turn it into It's a Horrible Life on Crack.<br /><br />Is he a guardian angel or the devil? Is the pinball machine the devil's assistant electronic device...how many different endings can you tack onto to a movie? It is one of those movies after it is over...you look at the person you are with and in stunned disbelief go ""What the hell was that?!"" In some circles this movie has become a kinda cult classic. But for good reason.<br /><br />A good cult classic you sit around the screen and make fun of (or throw out snappy one liners) to the screen. A cult film is never good. And most people would never watch them in any serious context.<br /><br />If you want to watch some classic bad late 80's fair stoned? Rent Wired. If you want to know about John Belushi...you can get more information off of the walls of Second City Chicago than this movie.",negative
"Or vice-versa.<br /><br />This is a French film noir directed by an American film maker (Jules Dassin) who had to leave the country because of being blacklisted by Hollywood thanks to HUAC. The premise of the story is rather familiar--one last jewel heist for Tony le Stephanois and his buds--and so is the ending with everybody getting... Well, no spoilers here, for sure, since this is the sort of film in which tension toward the ending is important.<br /><br />Dassin filmed in realistic lighting in black and white on the streets of Paris using actors and actresses who are not glamorous. The engaging--sometimes intruding--score by Georges Auric nicely enhances the movie and will remind viewers of many a similar score from American film noirs from the forties and early fifties. Jean Servais plays the hardcore, consumptive lead in a fedora much as Humphrey Bogart might have played him. Tony's recently out of prison, past his prime, but still tough and decisive when he has to be, his mind still sharp when focused, the kind of anti-hero whose eyes water even though the tears will never fall.<br /><br />Dassin plays the Italian safecracker and would-be ladies man who knows the rules but gets careless.<br /><br />In film noir we are forced by the logic and focus of the film to identify with the bad guys. Often there are levels of bad guys, the ""good"" bad guys we are identifying with and the ""bad"" bad guys who are out to do in our good bad guys, and then maybe there's a really bad, bad bad guy or two. (Here we have Remi Grutter, played by Robert Hossein, a slightly sadistic druggie.) Then there are the cops who are irrelevant or nearly so. In more modern film noir the bad guys are not even ""good"" bad guys, and they get away with it or something close to that. In the old film noir, which evolved from the gangster films of the thirties, the usual motto, following the old Hollywood ""code,"" was ""Crime Doesn't Pay,"" with every criminal having to pay for his or her crime before the end of the movie.<br /><br />Probably the most impressive feature of Rififi is how nicely the film moves along. The plot unfolds quickly and seamlessly much the way the great film directors always did it, directors like Stanley Kubrick, Louis Malle, and the best of Hitchcock. Some have actually compared this to Kubrick's The Killing (1956) and suggest that Kubrick stole a little. Well, directors always steal if need be, and there are some perhaps telling similarities, such as it being ""one last heist"" for the protagonist, and having the girl gum up the works. The similarities may go deeper because as this film was nearing its end I suddenly thought, oh, no! the suitcase in the back seat is going to fly out of the convertible, hit the ground, burst open, and all the money is going to fly into the air! Those of you who have seen The Killing may recall what happened to the money near the end of the film! Which reminds me of another film with something bad happening to the money: Oliver Stone's U Turn (1997) starring Sean Penn. There the money in his backpack gets blown to smithereens by a shotgun blast. Ha, ha, ha! Getting the dubbed version of this film would be an act of sacrilege since the dialogue (when there is some: the heist itself is done entirely without dialogue, about 30 minutes worth) is terse and easy to follow requiring only an occasional glance at the subtitles, which, by the way, are quite utilitarian and guiding as opposed to having every word spelled out.<br /><br />One other thing: all the brutality is done as sex used to be done in film, that is off camera. A guy gets his throat slit. We don't see it. I kind of like this approach. We don't have to see the gore. You could almost let your kids see Rififi--almost.<br /><br />Catch this one now and be on the lookout for a Hollywood reprise starring Al Pacino and directed by Harold Becker coming out next year in which you can be sure that the violent scenes will be played out in full.",positive
"This movie has some of the best dialogue ever written. The really good lines are all given to George C. Scott, a man who knew what to do with a juicy piece of dialogue. I just saw this movie again, for the first time in 20+ years, and the dialogue is as good as ever. The bizarre goings-on at the hospital are so imaginative as to dazzle you. They frequently involve such marvelous poetic justice as to be near strokes of genius. I love this movie!!",positive
"The Mummy's Curse is the last in the series of the Kharis mummy films, and it seems that creativity had run somewhat dry by the time they made this one. Kharis and his mate Ananka both end up in the bayous of Louisiana, and on his resurrection, he searches out his beloved princess. How they end up in Louisiana isn't made entirely clear, but with various people trying to find them, the viewer can be assured of some mummy murders.<br /><br />The Mummy's Curse was watchable, but it really wasn't anything special. I had the feeling throughout the movie that I'd seen this before. Quite frankly, apart from the original The Mummy with Boris Karloff, the Mummy movies are not my favorites among the old Universal horrors. They're not bad, but they do get a bit repetitive.<br /><br />There are some great scenes in the movie (the scene with Ananka coming to life in the swamp for instance) but overall this didn't do much for me.<br /><br />It's worth seeing if you want to be completest and see all of the mummy movies, but otherwise you might want to pass on this one.",negative
"About the movie itself, there are ample comments. <br /><br />I just wanted to say something about the German version, which I have seen recently on TV. It is heavily cut. From 103 to 76 minutes! It is usual that the most bloody scenes are cut for German TV. I understand the reasons for that, but this movie was something else. They did not only cut ""gore-shots"" - they have cut entire sequences, sparing only glimpses. Like: ""WE have to attack THEM"" - one 5 second shot of explosions in the camp - protagonist running away.<br /><br />When the assault on the island begins, it isn't even possible anymore to follow the storyline. All the cuts create something that amounts to a string of erratic, disconnected scenes that don't make any sense anymore.<br /><br />I could not stand to watch the end after spending 60 minutes on this nonsense.<br /><br />I think I would have given the original 7/10 The German version is worth only 1/10<br /><br />Get it on DVD (and check the runtime first) or forget about it.",negative
This TVM seems to have polarised opinions amongst the commentators on this page so perhaps I can settle everything by saying this is a very stupid not very well made television movie . How bad is it ? It's a teleplay that can't even decide what its name is because while everyone in America calls it LINDA it's known in Britain as LUST FOR MURDER and it's usually a bad sign when a movie has to change its name . And can I also point out that it's not a tongue in cheek spoof as somebody else claimed <br /><br />I will be honest and say the plot is rather sound . Linda and Paul Cowley meet another couple called the Jeffries who they get on very well with . They get on so well that they go on holiday together ( Make up your own mind if there's some wife swapping going on ) and Paul sees his wife kill the Jeffries . After that the plot takes a shock twist <br /><br />Writing the above paragraph I have suddenly realised the large amount of potential the story had and I won't say anything to put you off the premise . It's just that when the story continues after the events I've described things become more and more unlikely and bizarre . Not only that but the production values are fairly unimpressive with the actor playing Paul Cowley doing a very wooden voice over that irritates while most of the scenes - Exterior and interior - look like they've been filmed on a foggy day,negative
"<br /><br />Back in his youth, the old man had wanted to marry his first cousin, but his family forbid it. Many decades later, the old man has raised three children (two boys and one girl), and allows his son and daughter to marry and have children. Soon, the sister is bored with brother #1, and jumps in the bed of brother #2.<br /><br />One might think that the three siblings are stuck somewhere on a remote island. But no -- they are upper class Europeans going to college and busy in the social world.<br /><br />Never do we see a flirtatious moment between any non-related female and the two brothers. Never do we see any flirtatious moment between any non-related male and the one sister. All flirtatious moments are shared between only between the brothers and sister.<br /><br />The weakest part of GLADIATOR was the incest thing. The young emperor Commodus would have hundreds of slave girls and a city full of marriage-minded girls all over him, but no -- he only wanted his sister? If movie incest is your cup of tea, then SUNSHINE will (slowly) thrill you to no end.",negative
"It is the best movie released in Bollywood upto date. The best comedy, the best acting and the best direction till now! Rajkumar Santoshi's writing and direction proved that he is one of the best directors in the industry. Aamir Khan was absolutely amazing, Salman Khan looked good the way he acted. Shakti Kapoor was good, but Jagdeep over acted as usual! This comedy is still copied by people and no other writers and directors have been able to make this thing again! Even Rajkumar Santoshi hasn't been able to make this cult classic again! This movie was a flop when it released but it has been a cult classic since it released and loved by all kinds of people.<br /><br />STAR.<br /><br />ACTING 10/10.<br /><br />DIALOGUES 10/10.<br /><br />SCREENPLAY 10/10.<br /><br />DIRECTION 10/10.<br /><br />MUSIC 9/10.<br /><br />LYRICS 9/10.<br /><br />Overall, This movie is strongly recommended. If you didn't watch it till now, you missed something big! It is a laugh riot and the best comedy i have seen till date! Classic Films like Hera Pheri, Golmaal and Jaane Bhi Do Jaaro are not even half as funny as this.<br /><br />GREAT MOVIE, HATS OFF!!!!",positive
"This was a highly original decent movie, and a brave move for all those involved. I don't care if it's not the most well put-together movie of all time, the fact that it has Eddie Murphy doing something non-formulaic, and that I don't know what will happen next, makes it a favorite of mine. I wish more movies were as imaginative as this one, rather than the same old formula for entertainment.",positive
"Like watching a neighbor's summer camp home movies, ""Indian Summer"" is a sleep inducing bore. Eight alumni campers are barely introduced, when unbelievably boring flashbacks begin for characters we know nothing about. Fine actors, Alan Arkin, and Bill Paxton are totally wasted in this film. One camper's observation that ""everything seems so much smaller than I remember it"" is repeated at least ten times, enough to make you squirm. The anticipated pranks are neither funny or original, unless you think that short sheeting is a real ""howler"". This movie was a great disappointment considering the ample talent involved. ""Indian Summer"" did not make me homesick, just sick. - MERK",negative
"I have loved One True Thing since the first time I watched it in the theater, and cried my eyes out. I bought it as soon as it was available, and have lost track of how many times I've watched it.<br /><br />To me One True Thing is the ultimate family relationship movie. I love watching the relationships in the family change and evolve into what they end up being. I can relate to many details in the movie. My mother died of bone cancer, so it really hits home with me. Maybe this is why I love it so much.<br /><br />I like the relationships between the children and their parents, and the relationship of brother and sister, but especially love the relationship between husband and wife. To me it is truly beautiful.<br /><br />I highly recommend this move to anyone who enjoys this kind of movie.",positive
